name,category,based_on,plugin,added_in_coros,status,controls
No-Bell OD1,Guitar overdrive,Nobels ODR-1,,1.4.0,missing,
Obsessive Drive,Guitar overdrive,Fulltone OCD,,1.0.0,missing,
OD250,Guitar overdrive,DOD Overdrive Preamp 250,,1.0.0,missing,
Rage Booster,Guitar overdrive,Dallas Rangemaster,,1.0.0,missing,
Red Drive,Guitar overdrive,Keeley Red Dirt,,1.4.0,missing,
Rodent Drive,Guitar overdrive,ProCo Rat,,1.0.0,missing,
Thunderpaw,Guitar overdrive,Mr Black Thunderclaw,,2.0.0,missing,
Vemural Ray,Guitar overdrive,Vemuram Jan Ray,,1.4.0,missing,
Analog Delay,Delay,,,1.3.0,missing,
Slapback Delay,Delay,,,1.3.0,missing,
Digital Delay,Delay,,,2.1.0,missing,
Dual Delay,Delay,,,1.4.0,missing,
Dual Reverse Delay,Delay,,,2.1.0,missing,
Simple Ping Pong Delay,Delay,,,1.0.0,missing,
Reverse Delay,Delay,,,2.1.0,missing,
Simple Delay,Delay,,,2.1.0,missing,
Tape Delay,Delay,,,2.1.0,missing,
Circular Delay,Delay,,,3.0.0,missing,
Arpeggio Delay,Delay,,,4.1.0,missing,
Crystal Delay,Delay,,,4.1.0,missing,
Ambience,Reverb,,,1.0.0,missing,
Blossom (ST),Reverb,Inspired by Strymon BigSky Bloom mode,,4.0.0,missing,
Cave,Reverb,,,1.0.0,missing,
Hall,Reverb,,,1.0.0,missing,
Mind Hall,Reverb,,,1.2.0,missing,
Modulated,Reverb,,,1.0.0,missing,
Nordic Concert Hall (ST),Reverb,Inspired by Valhalla VintageVerb Concert Hall,,4.0.0,missing,
Plate,Reverb,,,1.2.0,missing,
Plate Lush,Reverb,,,1.2.0,missing,
Plate Tight,Reverb,,,1.2.0,missing,
Room,Reverb,,,1.0.0,missing,
Shimmer,Reverb,,,1.1.0,missing,
Spring (M),Reverb,,,1.0.0,missing,
Spring (ST),Reverb,,,1.0.0,missing,
Spring Reverb Engine (M),Reverb,,,3.3.0,missing,
Spring Reverb Engine (ST),Reverb,,,3.3.0,missing,
Studio Plate 70 (ST),Reverb,Lexicon PCM70 Rich Plate,,4.0.0,missing,
Vintage Digital,Reverb,Oto Machines Bam Space Generator,,4.1.0,missing,
Chief CS3,Compressor,BOSS CS-3,,1.4.0,missing,
Jewel,Compressor,Diamond Compressor,,1.0.0,missing,
Legendary 87,Compressor,Universal Audio 1176,,1.0.0,missing,
Legendary 87 (ST),Compressor,Universal Audio 1176,,1.4.0,missing,
Legendary 87 (S/C),Compressor,Universal Audio 1176,,3.0.0,missing,
Opto Comp,Compressor,,,1.0.0,missing,
Opto Comp (ST),Compressor,,,1.4.0,missing,
Opto Comp (S/C),Compressor,,,3.0.0,missing,
Solid State Comp,Compressor,SSL Bus,,1.0.0,missing,
Solid State Comp (ST),Compressor,SSL Bus,,1.4.0,missing,
Solid State Comp (S/C),Compressor,SSL Bus,,3.0.0,missing,
VCA Comp,Compressor,,,1.0.0,missing,
VCA Comp (ST),Compressor,,,1.4.0,missing,
VCA Comp (S/C),Compressor,,,3.0.0,missing,
Douglas Shining Comp (M),Compressor,Darkglass Hyper Luminal,,4.1.0,missing,
Aggi Sub Octaver,Pitch,Aguilar Octamizer,,3.3.0,missing,
Chief OC2,Pitch,BOSS OC-2,,3.1.0,missing,
Minivoicer,Pitch,,,1.4.0,missing,
Pitch Correction,Pitch,,,3.0.0,missing,
Pitch Shifter,Pitch,,,1.0.0,missing,
Poly Octaver,Pitch,Electro-Harmonix POG,,1.0.0,missing,
Subharmonic Synth,Pitch,Digitech DOD Meatbox SubSynth,,3.1.0,missing,
Transpose,Pitch,,,3.0.0,missing,
Wham,Pitch,Digitech Whammy,,1.0.0,missing,
Multivoicer,Pitch,free version from Archetype: Tim Henson X,,4.1.0,missing,
Chief CE2W,Modulation,BOSS CE-2W,,1.3.0,missing,
Chief CE2W (M),Modulation,BOSS CE-2W,,1.4.0,missing,
Chief DC2W,Modulation,BOSS DC-2W Dimension,,1.4.0,missing,
Chief DC2W (M),Modulation,BOSS DC-2W Dimension,,1.4.0,missing,
Chorus 229T,Modulation,TC Electronic TC-2290,,1.3.0,missing,
Chorus Engine,Modulation,,,1.3.0,missing,
Digital Flanger,Modulation,,,1.1.0,missing,
Dream Chorus,Modulation,TC Electronic Dreamscape,,1.3.0,missing,
Dream Chorus (M),Modulation,TC Electronic Dreamscape,,1.3.0,missing,
Dual Chorus,Modulation,,,1.0.0,missing,
Flanger Engine,Modulation,,,1.3.0,missing,
Flangerish,Modulation,,,1.1.0,missing,
Harmonic Tremolo,Modulation,,,3.1.0,missing,
Micro Processor (ST),Modulation,Eventide Micropitch Delay,,3.3.0,missing,
MX Flanger,Modulation,MXR Flanger M117R,,1.3.0,missing,
MX Phase 95,Modulation,MXR Phase 95,,1.4.0,missing,
MX Vibes,Modulation,MXR UniVibe,,1.0.0,missing,
NuVibes,Modulation,,,2.0.0,missing,
Pattern Tremolo,Modulation,,,3.3.0,missing,
Phaser,Modulation,,,1.0.0,missing,
Rotary,Modulation,,,1.0.0,missing,
Tremolo,Modulation,,,1.0.0,missing,
Vibrato,Modulation,,,1.0.0,missing,
Vintage Chorus,Modulation,,,1.0.0,missing,
Bit-Crusher (ST),Morph,,,3.3.0,missing,
Bit-Crusher Engine (M),Morph,,,3.3.0,missing,
Freeze,Morph,,,1.3.0,missing,
Phase-Locked Loop,Morph,EarthQuaker Devices Data Corrupter,,3.3.0,missing,
Glitch,Morph,free version from Archetype: Misha Mansoor X,,4.1.0,missing,
Ring Modulator,Morph,,,4.1.0,missing,
Env. Filter,Filter,,,1.0.0,missing,
Env. filter (S/C),Filter,,,3.0.0,missing,
Foog,Filter,Moog Moogerfooger MF-101,,1.0.0,missing,
Love Meat,Filter,Lovetone Meatball,,1.0.0,missing,
Graphic-9,EQ,,,1.0.0,missing,
Low-High Cut,EQ,,,1.0.0,missing,
Parametric-3,EQ,,,1.0.0,missing,
Parametric-8,EQ,,,1.0.0,missing,
Plugin Graphic-9,EQ,,,3.0.0,missing,
Plugin Parametric-4,EQ,,,4.1.0,missing,
Auto Wah,Wah,,,3.3.0,missing,
Bad Horse,Wah,Morley Bad Horsie,,1.0.0,missing,
Bubba Wah,Wah,Dunlop Budda Budwah,,1.0.0,missing,
Crying Clyde Wah,Wah,Dunlop Cry Baby Clyde McCoy,,1.0.0,missing,
Crying Wah,Wah,Dunlop Cry Baby GCB-95,,1.0.0,missing,
Crying Wah From Hell,Wah,Dunlop Crybaby from Hell,,3.1.0,missing,
Adaptive Gate,Utility,,,1.0.0,missing,
Adaptive Gate (S/C),Utility,,,3.0.0,missing,
Gain,Utility,,,1.0.0,missing,
Simple Gate,Utility,,,1.0.0,missing,
Utility Gate,Utility,,,1.0.0,missing,
Volume,Utility,,,2.1.0,missing,
Phase Doctor,Utility,Little Labs IBP,,4.0.0,missing,
Plugin Gate,Utility,,,3.0.0,missing,
Doubler,Utility,,,3.0.0,missing,
Plugin Doubler,Utility,,,3.0.0,missing,
Plugin Blend,Utility,,,3.0.0,missing,
Transparent Blend,Utility,,,3.0.0,missing,
Mono Synth,Synth,free version of Overlord Synth from Archetype: Rabea X,,3.3.0,missing,
Gojira WOW,Pitch,,Archetype: Gojira X,3.0.0,verified,"Fatso Mix (0-100 %, default 50.0, p1); Pedal (0-100 %, default 0.0, p1); Mode (select, FATSO / Blade 1 / Blade 2, default FATSO, p1)"
Gojira OCT,Pitch,,Archetype: Gojira X,3.0.0,verified,"DI Level (0-100 %, default 50, p1); Oct 1 (0-100 %, default 50, p1); Oct 2 (0-100 %, default 50, p1)"
Gojira OD,Guitar overdrive,,Archetype: Gojira X,3.0.0,verified,"Dist (0-10, default 5.0, p1); Tone (0-10, default 5.0, p1); Level (0-10, default 5.0, p1)"
Gojira DRT,Guitar overdrive,,Archetype: Gojira X,3.0.0,verified,"Dist (0-10, default 5.0, p1); Filter (0-10, default 5.0, p1); Vol (0-10, default 5.0, p1)"
Gojira PHSR,Modulation,,Archetype: Gojira X,3.0.0,verified,"Rate (Hz, default 0.61, p1); Sync (switch, Off/On, default Off, p1); Sync Note (select, note values, default 1/4, p1)"
Gojira CHR,Modulation,,Archetype: Gojira X,3.0.0,verified,"Rate (Hz, default 0.41, p1); Depth (0-100 %, default 50, p1); Feedback (0-100 %, default 50, p1); Mix (0-100 %, default 50, p1); Sync (switch, Off/On, default Off, p1); Sync Note (select, note values, default 1/4, p1)"
Gojira CLN,Guitar amps,,Archetype: Gojira X,3.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, OFF/ON, default OFF, p1); Output (dB, default 0.0, p1)"
Gojira RST,Guitar amps,,Archetype: Gojira X,3.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Depth (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Gojira HOT,Guitar amps,,Archetype: Gojira X,3.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Depth (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Gojira DLY (ST),Delay,,Archetype: Gojira X,3.0.0,verified,"Mix (0-100 %, default 50.0, p1); Feedback (0-100 %, default 50.0, p1); Ping Pong (switch, Off/On, default On, p1); Sync (switch, Off/On, default On, p1); Sync Note (select, note values, default 1/4, p1); Delay Time (time, ms, default 500, p1); Tape Mod (0-100 %, default 50, p1); Tape Sat (0-100 %, default 0, p1); Trails (switch, Off/On, default On, p1); Tone (0-100 %, default 50, p1)"
Gojira REV,Reverb,,Archetype: Gojira X,3.0.0,verified,"Mix (0-100 %, default 50.0, p1); Decay (0-100 %, default 50, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Gojira REV Shimmer,Reverb,,Archetype: Gojira X,3.0.0,verified,"Mix (0-100 %, default 50.0, p1); Decay (0-100 %, default 50, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Cory Wong Wah,Wah,,Archetype: Cory Wong X,3.2.0,verified,"Position (0-100 %, default 0, p1); Auto-Wah (switch, Off/On, default Off, p1); Sensitivity (0-100 %, default 50, p1); Attack (ms, default 500, p1); Release (ms, default 500, p1)"
Cory Wong The Postal Service,Filter,,Archetype: Cory Wong X,3.2.0,verified,"Range (Hz, default 1150, p1); Sensitivity (dB, default 36.0, p1); Attack (ms, default 550, p1); Decay (ms, default 550, p1)"
Cory Wong The 4th Position Compressor,Compressor,,Archetype: Cory Wong X,3.2.0,verified,"Compression (0-100 %, default 50, p1); Blend (0-100 %, default 50, p1); Tone (0-100 %, default 50, p1); Volume (0-100 %, default 50, p1); Gain Reduction (meter, dB, p1)"
Cory Wong The Tuber,Guitar overdrive,,Archetype: Cory Wong X,3.2.0,verified,"Drive (0-10, default 5.0, p1); Tone (0-10, default 5.0, p1); Level (0-10, default 5.0, p1)"
Cory Wong The Big Rig Overdrive,Guitar overdrive,,Archetype: Cory Wong X,3.2.0,verified,"Drive (0-10, default 5.0, p1); Tone (0-10, default 5.0, p1); Level (0-10, default 5.0, p1)"
Cory Wong D.I. Funk Console,Guitar amps,,Archetype: Cory Wong X,3.2.0,verified,"Comp (0-10, default 5.0, p1); Attack (switch, Slow/Fast, default Fast, p1); Tube Sat (0-10, default 5.0, p1); High Pass (Hz, default 20, p1); Low Pass (Hz, default 17000, p1); Lows (dB, default 0.0, p1); Lows Freq (switch, 150 Hz/225 Hz, default 225 Hz, p1); Mids (dB, default 0.0, p1); Mids Freq (switch, 600 Hz/900 Hz, default 900 Hz, p1); Highs (dB, default 0.0, p1); Highs Freq (switch, 2.5 kHz/4 kHz, default 4 kHz, p2); Output (dB, default 0.0, p2)"
Cory Wong The Clean Machine,Guitar amps,,Archetype: Cory Wong X,3.2.0,verified,"Volume (0-10, default 5.0, p1); Bright (switch, OFF/ON, default OFF, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Cory Wong The Amp Snob,Guitar amps,,Archetype: Cory Wong X,3.2.0,verified,"Volume (0-10, default 5.0, p1); Bright (switch, OFF/ON, default OFF, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1); Drive (switch, OFF/ON, default OFF, p1)"
Cory Wong The 80s,Modulation,,Archetype: Cory Wong X,3.2.0,verified,"Mix (0-100 %, default 50, p1); Rate (Hz, default 1.65, p1); Width (0-100 %, default 50, p1); Sync (switch, Off/On, default Off, p1); Sync Note (select, note values, default 1/4, p1)"
Cory Wong Delay-y-y,Delay,,Archetype: Cory Wong X,3.2.0,verified,"Mix (0-100 %, default 50.0, p1); Feedback (0-100 %, default 25, p1); Mode (switch, Dual/Single, default Single, p1); Delay Time L (time, ms, default 500, p1); Delay Time R (time, ms, default 500, p1); High Pass (Hz, default 50, p1); Low Pass (Hz, default 5000, p1); Sync (switch, Off/On, default On, p1); Sync Note L (select, note values, default 1/4, p1); Sync Note R (select, note values, default 1/4, p1); Trails (switch, Off/On, default On, p2)"
Cory Wong The Wash,Reverb,,Archetype: Cory Wong X,3.2.0,verified,"Mix (0-100 %, default 50.0, p1); Decay (0-100 %, default 50, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Cory Wong The Wash Shimmer,Reverb,,Archetype: Cory Wong X,3.2.0,verified,"Mix (0-100 %, default 50.0, p1); Decay (0-100 %, default 50, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Nolly Compressor,Compressor,,Archetype: Nolly X,3.2.0,verified,"Comp (0-10, default 5.0, p1); Level (0-10, default 5.0, p1); Attack (switch, Snappy/Smooth, default Snappy, p1); Gain Reduction (meter, dB, p1)"
Nolly Overdrive-1,Guitar overdrive,,Archetype: Nolly X,3.2.0,verified,"Drive (0-10, default 5.0, p1); Tone (0-10, default 5.0, p1); Level (0-10, default 5.0, p1); Bright (switch, Off/On, default Off, p1)"
Nolly Overdrive-2,Guitar overdrive,,Archetype: Nolly X,3.2.0,verified,"Gain (0-10, default 1.5, p1); Bass (0-10, default 4.2, p1); Treble (0-10, default 4.3, p1); Level (0-10, default 5.6, p1)"
Nolly Delay-1 (M),Delay,,Archetype: Nolly X,3.2.0,verified,"Mix (0-100 %, default 50.0, p1); Feedback (0-100 %, default 20.0, p1); Sync (switch, Off/On, default On, p1); Sync Note (select, note values, default 1/4, p1); Delay Time (time, ms, default 80, p1); Trails (switch, Off/On, default On, p1); Tone (0-100 %, default 50, p1)"
Nolly Delay-2,Delay,,Archetype: Nolly X,3.2.0,verified,"Mix (0-100 %, default 50.0, p1); Feedback (0-100 %, default 25.0, p1); Delay Time (time, ms, default 500, p1); Sync (switch, Off/On, default On, p1); Sync Note (select, note values, default 1/4, p1); High Pass (Hz, default 60, p1); Low Pass (Hz, default 5000, p1); Ping Pong (switch, Off/On, default On, p1); Mod (0-100 %, default 50.0, p1); Trails (switch, Off/On, default On, p1)"
Nolly Clean,Guitar amps,,Archetype: Nolly X,3.2.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, Off/On, default Off, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Nolly Crunch,Guitar amps,,Archetype: Nolly X,3.2.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, Off/On, default Off, p1); Presence (0-10, default 5.0, p1); Depth (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Nolly Rhythm,Guitar amps,,Archetype: Nolly X,3.2.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Resonance (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Nolly Lead,Guitar amps,,Archetype: Nolly X,3.2.0,verified,"Gain (0-10, default 6.0, p1); Bass (0-10, default 3.9, p1); Middle (0-10, default 5.0, p1); Treble (0-10, default 4.4, p1); Master (0-10, default 4.0, p1); Output (dB, default 0.0, p1)"
Nolly Graphic-9,EQ,,Archetype: Nolly X,3.2.0,verified,"Band 1 (75Hz) (dB, default 0.0, p1); Band 2 (150Hz) (dB, default 0.0, p1); Band 3 (250Hz) (dB, default 0.0, p1); Band 4 (400Hz) (dB, default 0.0, p1); Band 5 (800Hz) (dB, default 0.0, p1); Band 6 (1.5kHz) (dB, default 0.0, p1); Band 7 (4.5kHz) (dB, default 0.0, p1); Band 8 (8kHz) (dB, default 0.0, p1); Band 9 (12kHz) (dB, default 0.0, p1); HPF (Hz, default OFF, p1); LPF (Hz, default OFF, p1); Nolly's Mod (switch, Off/On, default Off, p1); Output (dB, default 0.0, p1)"
Nolly Reverb,Reverb,,Archetype: Nolly X,3.2.0,verified,"Mix (0-100 %, default 50.0, p1); Decay (s, default 3.0, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Petrucci Wah,Wah,,Archetype: Petrucci X,4.1.0,verified,"Position (0-100 %, default 0, p1)"
Petrucci Compressor,Compressor,,Archetype: Petrucci X,4.1.0,verified,"Comp (0-10, default 5.0, p1); Level (0-10, default 5.0, p1); Gain Reduction (meter, dB, p1)"
Petrucci Overdrive,Guitar overdrive,,Archetype: Petrucci X,4.1.0,verified,"Drive (0-10, default 5.0, p1); Tone (0-10, default 5.0, p1); Level (0-10, default 5.0, p1)"
Petrucci Phaser,Modulation,,Archetype: Petrucci X,4.1.0,verified,"Rate (0-100 %, default 50, p1); Mode (switch, Vibe/Phase, default Phase, p1); Output (dB, default 0.0, p1)"
Petrucci Chorus 1,Modulation,,Archetype: Petrucci X,4.1.0,verified,"Rate (0-100 %, default 50, p1); Depth (0-100 %, default 50, p1); Mode (switch, Norm/Tri, default Norm, p1); Level (0-100 %, default 50, p1); Output (dB, default 0.0, p1)"
Petrucci Chorus 2,Modulation,,Archetype: Petrucci X,4.1.0,verified,"Mix (0-100 %, default 50, p1); Mode (switch, Vintage/Spatial, default Spatial, p1); Rate (Hz, default 0.89, p1); Sync (switch, Off/On, default Off, p1); Sync Note (select, note values, default 1/4, p1); Depth (0-100 %, default 50, p1); Output (dB, default 0.0, p1)"
Petrucci Flanger,Modulation,,Archetype: Petrucci X,4.1.0,verified,"Rate (0-100 %, default 50, p1); Depth (0-100 %, default 50, p1); Range (0-100 %, default 50, p1); Feedback (0-100 %, default 50, p1); Sync (switch, Off/On, default Off, p1); Sync Note (select, note values, default 1/4, p1); Output (dB, default 0.0, p1)"
Petrucci Piezo,Guitar amps,,Archetype: Petrucci X,4.1.0,verified,"Body (0-10, default 5.0, p1); Air (switch, Off/On, default Off, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Petrucci Clean,Guitar amps,,Archetype: Petrucci X,4.1.0,verified,"Gain (0-10, default 5.0, p1); Bright (switch, Off/On, default Off, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Petrucci Rhythm,Guitar amps,,Archetype: Petrucci X,4.1.0,verified,"Gain (0-10, default 5.0, p1); Bite (switch, Off/On, default Off, p1); Tight (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Mid Boost (switch, Off/On, default Off, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Petrucci Lead,Guitar amps,,Archetype: Petrucci X,4.1.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Middle (0-10, default 5.0, p1); Soar (switch, Off/On, default Off, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Petrucci Volume,Utility,,Archetype: Petrucci X,4.1.0,verified,"Level (0-100 %, default 100.0, p1); Mid-Point (0-100 %, default 15, p1)"
Petrucci Delay,Delay,,Archetype: Petrucci X,4.1.0,verified,"Mix (0-100 %, default 50.0, p1); Feedback (0-100 %, default 50.0, p1); Sync (switch, Off/On, default On, p1); Delay Time L (time, ms, default 500, p1); Delay Time R (time, ms, default 500, p1); Crystals (0-100 %, default 50.0, p1); Tape (0-100 %, default 50.0, p1); Mod (0-100 %, default 50.0, p1); Sync Note L (select, note values, default 1/4, p1); Sync Note R (select, note values, default 1/4, p1); Mode (switch, Dual/Single, default Dual, p2); Cross Feed (0-100 %, default 50.0, p2); High Pass (Hz, default 20, p2); Low Pass (Hz, default 16000, p2); Trails (switch, Off/On, default On, p2)"
Petrucci Reverb,Reverb,,Archetype: Petrucci X,4.1.0,verified,"Mix (0-100 %, default 50.0, p1); Pre-Delay (ms, default 64.0, p1); Decay (0-100 %, default 50.0, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Petrucci Reverb Shimmer,Reverb,,Archetype: Petrucci X,4.1.0,verified,"Mix (0-100 %, default 50.0, p1); Pre-Delay (ms, default 15.0, p1); Decay (0-100 %, default 50, p1); Low Cut (0-100 %, default 0, p1); High Cut (0-100 %, default 100, p1); Trails (switch, Off/On, default On, p1)"
Nolly Cab 1 (M),Guitar cabinets,,Archetype: Nolly X,3.2.0,verified,"Mic A (select, Speaker Closed GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Speaker Open GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Load custom IR, default Dynamic 57, p1); Mic A On (switch, Off/On, default On, p1); Mic A Level (dB, default 0.0, p1); Mic A Position (0-1, default 0.3, p1); Mic A Dist (0-1, default 0.1, p1); Mic A Pan (L-C-R, default C, p1); Mic A Phase invert (button, off/on, default off, p1); Mic B (select, Speaker Closed GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Speaker Open GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Load custom IR, default Ribbon 160, p1); Mic B On (switch, Off/On, default On, p1); Mic B Level (dB, default 0.0, p1); Mic B Position (0-1, default 0.3, p1); Mic B Dist (0-1, default 0.1, p1); Mic B Pan (L-C-R, default C, p1); Mic B Phase invert (button, off/on, default off, p1); Room Left (switch, Off/On, default Off, p2); Room Left Level (dB, default -6.0, p2); Room Right (switch, Off/On, default Off, p2); Room Right Level (dB, default -6.0, p2); HPF (Hz (OFF-), default OFF, p3); Output Volume (dB, default 0.0, p3); LPF (Hz (-OFF), default OFF, p3)"
Nolly Cab 1 (ST),Guitar cabinets,,Archetype: Nolly X,3.2.0,verified,"Mic A (select, Speaker Closed GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Speaker Open GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Load custom IR, default Dynamic 57, p1); Mic A On (switch, Off/On, default On, p1); Mic A Level (dB, default 0.0, p1); Mic A Position (0-1, default 0.3, p1); Mic A Dist (0-1, default 0.1, p1); Mic A Balance (L-C-R, default C, p1); Mic A Phase invert (button, off/on, default off, p1); Mic B (select, Speaker Closed GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Speaker Open GB: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Load custom IR, default Ribbon 160, p1); Mic B On (switch, Off/On, default On, p1); Mic B Level (dB, default 0.0, p1); Mic B Position (0-1, default 0.3, p1); Mic B Dist (0-1, default 0.1, p1); Mic B Balance (L-C-R, default C, p1); Mic B Phase invert (button, off/on, default off, p1); Room Left (switch, Off/On, default Off, p2); Room Left Level (dB, default -6.0, p2); Room Right (switch, Off/On, default Off, p2); Room Right Level (dB, default -6.0, p2); HPF (Hz (OFF-), default OFF, p3); Output Volume (dB, default 0.0, p3); LPF (Hz (-OFF), default OFF, p3)"
Nolly Cab 2 (M),Guitar cabinets,,Archetype: Nolly X,3.2.0,verified,"Mic A (select, Speaker CB 74: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Speaker V30 12: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Load custom IR, default Dynamic 57, p1); Mic A On (switch, Off/On, default On, p1); Mic A Level (dB, default 0.0, p1); Mic A Position (0-1, default 0.3, p1); Mic A Dist (0-1, default 0.1, p1); Mic A Pan (L-C-R, default C, p1); Mic A Phase invert (button, off/on, default off, p1); Mic B (select, Speaker CB 74: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Speaker V30 12: Ribbon 160 / Ribbon 121 / Dynamic 57 / Dynamic 421 / Condenser 414 / Condenser 184; Load custom IR, default Ribbon 160, p1); Mic B On (switch, Off/On, default On, p1); Mic B Level (dB, default 0.0, p1); Mic B Position (0-1, default 0.3, p1); Mic B Dist (0-1, default 0.1, p1); Mic B Pan (L-C-R, default C, p1); Mic B Phase invert (button, off/on, default off, p1); Room Left (switch, Off/On, default Off, p2); Room Left Level (dB, default -6.0, p2); Room Right (switch, Off/On, default Off, p2); Room Right Level (dB, default -6.0, p2); HPF (Hz (OFF-), default OFF, p3); Output Volume (dB, default 0.0, p3); LPF (Hz (-OFF), default OFF, p3)"
